Year,Period,Label,Value,Month,Date,State
2021,M08,2021 Aug,4.2,08,2021-08-01,Arkansas
2021,M09,2021 Sep,4.0,09,2021-09-01,Arkansas
2019,M01,2019 Jan,4.3,01,2019-01-01,California
2019,M02,2019 Feb,4.3,02,2019-02-01,California
2019,M03,2019 Mar,4.2,03,2019-03-01,California
2019,M04,2019 Apr,4.1,04,2019-04-01,California
2019,M05,2019 May,4.1,05,2019-05-01,California
2019,M06,2019 Jun,4.1,06,2019-06-01,California
2019,M07,2019 Jul,4.1,07,2019-07-01,California
2019,M08,2019 Aug,4.1,08,2019-08-01,California
2019,M09,2019 Sep,4.1,09,2019-09-01,California
2019,M10,2019 Oct,4.1,10,2019-10-01,California
2019,M11,2019 Nov,4.1,11,2019-11-01,California
2019,M12,2019 Dec,4.2,12,2019-12-01,California
2020,M01,2020 Jan,4.2,01,2020-01-01,California
2020,M02,2020 Feb,4.3,02,2020-02-01,California
2020,M03,2020 Mar,4.5,03,2020-03-01,California
2020,M04,2020 Apr,16.0,04,2020-04-01,California
2020,M05,2020 May,15.6,05,2020-05-01,California
2020,M06,2020 Jun,14.1,06,2020-06-01,California
2020,M07,2020 Jul,13.2,07,2020-07-01,California
2020,M08,2020 Aug,12.3,08,2020-08-01,California
2020,M09,2020 Sep,10.6,09,2020-09-01,California
2020,M10,2020 Oct,9.8,10,2020-10-01,California
2020,M11,2020 Nov,8.7,11,2020-11-01,California
2020,M12,2020 Dec,9.3,12,2020-12-01,California
2021,M01,2021 Jan,9.0,01,2021-01-01,California
2021,M02,2021 Feb,8.5,02,2021-02-01,California
2021,M03,2021 Mar,8.3,03,2021-03-01,California
2021,M04,2021 Apr,8.0,04,2021-04-01,California
2021,M05,2021 May,7.7,05,2021-05-01,California
2021,M06,2021 Jun,7.6,06,2021-06-01,California
2021,M07,2021 Jul,7.6,07,2021-07-01,California
2021,M08,2021 Aug,7.5,08,2021-08-01,California
2021,M09,2021 Sep,7.5,09,2021-09-01,California
2019,M01,2019 Jan,3.0,01,2019-01-01,Colorado
2019,M02,2019 Feb,2.9,02,2019-02-01,Colorado
2019,M03,2019 Mar,2.8,03,2019-03-01,Colorado
2019,M04,2019 Apr,2.7,04,2019-04-01,Colorado
2019,M05,2019 May,2.6,05,2019-05-01,Colorado
2019,M06,2019 Jun,2.6,06,2019-06-01,Colorado
2019,M07,2019 Jul,2.6,07,2019-07-01,Colorado
2019,M08,2019 Aug,2.6,08,2019-08-01,Colorado
2019,M09,2019 Sep,2.5,09,2019-09-01,Colorado
2019,M10,2019 Oct,2.5,10,2019-10-01,Colorado
2019,M11,2019 Nov,2.5,11,2019-11-01,Colorado
2019,M12,2019 Dec,2.6,12,2019-12-01,Colorado
2020,M01,2020 Jan,2.7,01,2020-01-01,Colorado
2020,M02,2020 Feb,2.8,02,2020-02-01,Colorado
2020,M03,2020 Mar,4.7,03,2020-03-01,Colorado
2020,M04,2020 Apr,12.1,04,2020-04-01,Colorado
2020,M05,2020 May,11.6,05,2020-05-01,Colorado
2020,M06,2020 Jun,11.3,06,2020-06-01,Colorado
2020,M07,2020 Jul,7.4,07,2020-07-01,Colorado
2020,M08,2020 Aug,7.1,08,2020-08-01,Colorado
2020,M09,2020 Sep,7.0,09,2020-09-01,Colorado
2020,M10,2020 Oct,6.9,10,2020-10-01,Colorado
2020,M11,2020 Nov,6.9,11,2020-11-01,Colorado
2020,M12,2020 Dec,6.9,12,2020-12-01,Colorado
2021,M01,2021 Jan,6.6,01,2021-01-01,Colorado
2021,M02,2021 Feb,6.4,02,2021-02-01,Colorado
2021,M03,2021 Mar,6.4,03,2021-03-01,Colorado
2021,M04,2021 Apr,6.4,04,2021-04-01,Colorado
2021,M05,2021 May,6.2,05,2021-05-01,Colorado
2021,M06,2021 Jun,6.2,06,2021-06-01,Colorado
2021,M07,2021 Jul,6.1,07,2021-07-01,Colorado
2021,M08,2021 Aug,5.9,08,2021-08-01,Colorado
2021,M09,2021 Sep,5.6,09,2021-09-01,Colorado
